giftId,name,state,point
1,Keychain with store logo,available,10
2,Document clip engraved with logo,available,20
3,Handmade wooden coaster,available,30
4,Luxury pen,available,40
5,Branded helmet,available,50
6,Tote bag with logo,available,60
7,Branded t-shirt,available,70
8,Scarf or winter beanie,available,80
9,Daily planner board,available,90
10,Fabric-covered notebook,available,100
11,Luxury leather notebook,available,110
12,Vintage wooden photo frame,available,120
13,Coffee-style desk calendar,available,130
14,Relaxing scented candle,available,140
15,Small decorative menu board,available,150
16,Neck pillow with cafe voucher,available,160
17,Unique coffee tablecloth,available,170
18,Decorative hanging plant bag,available,180
19,Classic style table runner,available,190
20,Branded back cushion,available,200
21,Spill-proof coffee cup,available,210
22,Limited edition sample drink set,available,220
23,Phone case with logo,available,230
24,Premium towel,available,240
25,Office supplies set with logo,available,250
26,Shockproof laptop bag,available,260
27,Wooden lid jars for coffee beans,available,270
28,Cafe-style desk lamp,available,280
29,Specialty coffee gift set from various regions,available,290
30,Glass coffee cup set,available,300
31,Premium ceramic mug,available,310
32,Neck pillow with cafe voucher,available,320
33,Hourglass coffee timer,available,330
34,Durable thermal bottle,available,340
35,Handcrafted coffee filter,available,350
36,Mini coffee maker,available,360
37,Fashion handbag,available,370
38,Cafe-style wall clock,available,380
39,Premium coffee bean gift set,available,390
40,Handheld coffee brewer,available,400
